-51;-65
0;20
59;62
22;-93
42;3
-72;71
63;98
93;96
92;28
-87;-57
-9;-75
13;-69
91;44
-81;-44
22;22
-43;-34
99;25
-16;13
62;-12
60;98
-65;-27
29;41
64;-38
-6;-40
7;-68
9;-4
51;-61
60;80
49;4
-76;-72
50;-89
61;-32
77;17
27;6
64;89
45;-48
-79;80
53;-83
59;-69
97;92
-60;-48
9;-32
-76;-50
26;-64
86;69
-0;85
-67;53
-46;-34
65;22
29;88
-23;75
-52;-61
-23;72
99;18
72;33
7;37
56;77
71;-19
-98;80
-46;67
-69;-37
-3;57
-92;81
60;13
92;38
96;30
-53;-29
-73;43
57;97
-43;76
7;22
23;-74
49;42
36;-95
91;-39
-5;83
-14;-62
85;82
54;-58
-85;60
36;-11
94;-20
-45;0
85;13
-89;-30
-73;-11
57;42
-17;15
45;83
-19;-7
70;61
-2;55
22;11
-60;36
35;46
-53;47
-95;8
66;62
79;47
-15;71
-44;99
-34;-91
-61;-87
-77;28
63;88
-28;52
40;-36
56;48
43;36
-94;77
-66;31
-42;-99
49;-74
-40;-12
-48;17
71;6
-64;80
12;-62
7;-28
-44;62
76;97
-79;-76
52;99
-38;69
11;6
-70;15
-95;-44
-50;-54
24;-7
29;-75
-95;5
-13;-52
75;2
85;30
-35;-93
-5;-80
2;67
-45;-41
-41;6
-61;13
-41;-40
-88;-41
55;38
24;-38
70;57
60;6
-48;-24
-86;32
-85;40
77;42
38;22
-0;-66
15;37
-77;30
-94;94
-63;-27
-2;-38
28;31
-92;-75
-28;59
14;-19
-45;9
51;-68
12;79
-84;54
-26;-35
19;40
49;-84
-34;95
-47;-4
12;-82
27;-36
-77;20
-59;-45
72;-9
75;-71
68;-42
-12;-73
65;-83
6;78
-50;20
-26;23
2;-22
-93;-83
32;-14
7;-9
49;74
-21;-86
65;-87
96;92
-43;-3
-95;-16
97;-88
73;-69
32;-0
89;-2
-74;-67
-48;76
-27;-24
-19;-62
